advmean,advstd,ev,n_updates,opt_approxkl,opt_aux,opt_clipfrac,opt_dyn_loss,opt_ent,opt_feat_var,opt_pg,opt_tot,opt_vf,rank,recent_best_ext_ret,retmean,retstd,rew_mean,total_secs,tps,ups,vpredmean,vpredstd,tcount,best_ext_ret,epcount,eplen,eprew,eprew_recent
0.8603639,0.34618616,0.03937047719955444,1,3.2196468e-15,1.4155655,0.0,0.24766898,1.383687,0.0313256,0.0794542,0.44542575,0.36735523,0,,0.8281027,0.35320896,0.2643472,9.306634187698364,55.0145186405595,0.10745023171984278,-0.032261204,0.052734215,,,,,,
0.325786,0.24667771,0.1524222493171692,2,7.8825835e-15,1.4969158,0.0,0.2176666,1.3844432,0.049731046,-1.2965626,-1.069808,0.22813907,0,,0.9873673,0.2679416,0.12399,10.43546462059021,453.5667936311345,0.8858726438108095,0.6615813,0.16412553,0.0,,,,,
0.23681526,0.24199298,-0.4823669195175171,3,6.3282712e-15,1.32986,0.0,0.073883265,1.3765125,0.037885025,0.9634098,0.9883908,0.026357561,0,1.0,1.2617605,0.19875814,0.13288641,11.681996583938599,410.739567900597,0.8022257185558536,1.0249453,0.16029267,590.0,1.0,4.0,147.5,0.25,0.25
0.23838633,0.28347775,0.5730176866054535,4,6.661338e-15,1.314727,0.0,0.10172504,1.3688017,0.05173088,0.30016103,0.31999028,0.021198021,0,2.0,1.4739757,0.43382445,0.13202505,12.853869438171387,436.9074666681315,0.8533348958361944,1.2355893,0.23878647,817.0,2.0,5.0,163.4,0.6,2.0
0.06261304,0.1806569,0.3952963352203369,5,8.049117e-15,1.2591894,0.0,0.09285488,1.3598843,0.06468546,-0.2973633,-0.28208363,0.01663956,0,4.0,1.5335952,0.23231821,0.1025612,14.16263198852539,391.2092379641444,0.7640805428987195,1.4709821,0.25909323,1855.0,4.0,9.0,206.11111111111111,1.5555555555555556,2.75
0.1762003,0.15450828,0.6056958138942719,6,7.0776718e-15,1.1237613,0.0,0.11935449,1.3641849,0.0851256,-0.14679198,-0.11605537,0.0321008,0,2.0,1.7305275,0.24605718,0.127004,15.375446319580078,422.158599952191,0.8245285155316231,1.5543271,0.20024525,2271.0,4.0,11.0,206.45454545454547,1.6363636363636365,2.0
0.22490788,0.16464041,0.7277674674987793,7,7.660539e-15,0.79762685,0.0,0.14889169,1.3768771,0.10220659,-0.2874975,-0.24308617,0.045788184,0,1.0,1.9397722,0.31554872,0.14336337,16.585248231887817,423.2097790483255,0.8265815997037608,1.7148645,0.26141787,2573.0,4.0,13.0,197.92307692307693,1.4615384615384615,0.5
0.2623696,0.21261266,0.2854079604148865,8,8.65974e-15,0.6557097,0.0,0.17377448,1.3651546,0.19644141,-0.4673302,-0.39002934,0.078666,0,7.0,2.160731,0.25151277,0.1592952,17.89577889442444,390.6814351134595,0.7630496779559756,1.8983617,0.22667237,3447.0,7.0,17.0,202.76470588235293,1.7647058823529411,2.75
0.3077355,0.1934842,0.32069718837738037,9,1.12132525e-14,0.6474358,0.0,0.16839348,1.3695319,0.19954908,-0.38746378,-0.29715395,0.091679364,0,1.0,2.4666364,0.23475443,0.17440115,19.142486572265625,410.6816771086107,0.8021126506027553,2.158901,0.17695057,3905.0,7.0,20.0,195.25,1.55,0.3333333333333333
0.2906503,0.16614877,0.25179851055145264,10,1.856848e-14,0.40724844,0.0,0.2208652,1.3430471,0.26740503,-0.31158954,-0.23293574,0.07999684,0,1.0,2.864595,0.19208251,0.18919317,20.295769453048706,443.95005642705036,0.8670899539590827,2.5739443,0.14155607,4082.0,7.0,21.0,194.38095238095238,1.5238095238095237,1.0
0.2452902,0.16043802,-0.14560377597808838,11,1.0491608e-14,0.4772292,0.0,0.19252533,1.3513784,0.30770975,0.37471244,0.4081506,0.034789573,0,1.0,3.027141,0.14989601,0.18366468,21.586157083511353,396.77999688855596,0.7749609314229609,2.7818508,0.13376643,4547.0,7.0,24.0,189.45833333333334,1.4166666666666667,0.6666666666666666
0.17699951,0.19656862,-0.7989178895950317,12,1.0332013e-14,0.48632917,0.0,0.18536901,1.3007082,0.3343578,0.55758077,0.57076937,0.014489321,0,7.0,3.4018064,0.14655764,0.1841552,22.9093337059021,386.947586086358,0.755757004074918,3.2248068,0.20029524,5696.0,7.0,29.0,196.41379310344828,1.5862068965517242,2.4
0.16814552,0.14542696,0.22042196989059448,13,9.880985e-15,0.5219077,0.0,0.16876864,1.3268871,0.32663378,0.18628877,0.20462897,0.019667087,0,0.0,3.469243,0.16470817,0.17772338,24.090176820755005,433.58850431522274,0.8468525474906694,3.3010974,0.18784258,5826.0,7.0,30.0,194.2,1.5333333333333334,0.0
0.16702345,0.15170826,0.34097254276275635,14,1.1692036e-14,0.36613145,0.0,0.18683012,1.308542,0.3881606,0.31011167,0.31997967,0.011176521,0,1.0,3.4850976,0.18687768,0.19038191,25.34143352508545,409.18861671472484,0.799196517020947,3.3180745,0.20303859,6251.0,7.0,33.0,189.42424242424244,1.4242424242424243,0.3333333333333333
0.15453516,0.1786761,-0.11896741390228271,15,1.8235413e-14,0.3699087,0.0,0.16449976,1.3107293,0.36089808,0.2603501,0.27118143,0.0121420715,0,4.0,3.7242737,0.16891094,0.18675578,26.623663902282715,399.30421951096156,0.7798910537323468,3.5697384,0.20173596,7046.0,7.0,37.0,190.43243243243242,1.4324324324324325,1.5
0.08497332,0.16526376,0.7331864833831787,16,1.8540725e-14,0.49219656,0.0,0.15797509,1.3314822,0.4033528,0.027388632,0.041651115,0.015593963,0,,3.8688986,0.3199438,0.17990968,27.742273807525635,457.7109478471969,0.8939666950140565,3.7839253,0.28390566,7046.0,7.0,37.0,190.43243243243242,1.4324324324324325,1.5
0.08326006,0.14721219,0.5384493768215179,17,1.0574874e-14,0.45842355,0.0,0.1613847,1.3289402,0.40048322,0.27976373,0.28704777,0.0086130025,0,3.0,3.8254092,0.2166876,0.181189,28.998462677001953,407.5820224497318,0.7960586375971325,3.742149,0.22127864,7551.0,7.0,40.0,188.775,1.4,1.0
-0.03096204,0.25193945,-0.6974365711212158,18,1.4127588e-14,0.3566595,0.0,0.21115243,1.3070924,0.4690165,-1.1878899,-1.1279821,0.06121487,0,5.0,4.1140327,0.19337457,0.17263666,30.256818294525146,406.88021165889785,0.7946879133962849,4.1449947,0.3404044,8571.0,7.0,44.0,194.79545454545453,1.5,2.5
0.014526233,0.2963644,0.15880060195922852,19,1.7735813e-14,0.32438624,0.0,0.13226305,1.2842277,0.4510737,0.1803107,0.18797335,0.008946879,0,0.0,4.1981106,0.32312945,0.1621016,31.420750856399536,439.8880285430613,0.8591563057481666,4.183584,0.16546635,8711.0,7.0,45.0,193.57777777777778,1.4666666666666666,0.0
-0.04682652,0.20325482,0.5453080534934998,20,1.5654145e-14,0.38660276,0.0,0.1450054,1.2421951,0.47348392,0.7202938,0.78297085,0.06391926,0,6.0,4.158498,0.30142704,0.15672782,32.76274490356445,381.52181157706775,0.7451597882364605,4.205324,0.3357785,9715.0,7.0,50.0,194.3,1.48,1.6
-0.013942776,0.20373744,0.5078012645244598,21,1.3211654e-14,0.4269378,0.0,0.10559453,1.3188207,0.36612585,0.5106573,0.52066857,0.0113300625,0,0.0,4.0756783,0.29040268,0.1449528,33.976545095443726,421.81571845634113,0.8238588251100413,4.089621,0.2917993,9889.0,7.0,51.0,193.90196078431373,1.4509803921568627,0.0
-0.023842955,0.21986513,0.643159419298172,22,1.6403545e-14,0.6690314,0.0,0.1695558,1.2703278,0.33290073,-0.8900345,-0.8568903,0.034414507,0,1.0,4.2211113,0.36806053,0.13992944,35.14982461929321,436.3836490729393,0.8523118145955846,4.2449546,0.36648986,10198.0,7.0,53.0,192.41509433962264,1.4150943396226414,0.5
-0.10147662,0.19014174,0.3392101526260376,23,1.662559e-14,0.48805818,0.0,0.11955684,1.3159999,0.36622202,0.07412597,0.087535985,0.014726018,0,4.0,3.7404675,0.2339084,0.13597988,36.398552894592285,410.017143142991,0.8008147327011543,3.8419442,0.29337174,10834.0,7.0,56.0,193.46428571428572,1.4285714285714286,1.6666666666666667
-7.952936e-05,0.20996533,0.2656346559524536,24,1.1629586e-14,0.45742917,0.0,0.12910417,1.321594,0.3962617,-0.1321243,-0.12569198,0.0077539226,0,2.0,3.3925343,0.24501434,0.1206418,37.5981125831604,426.8232793077281,0.8336392173979065,3.392614,0.28634557,11252.0,7.0,58.0,194.0,1.4482758620689655,2.0
-0.07223519,0.14104663,0.5068204998970032,25,1.1435297e-14,0.24810106,0.0,0.08137682,1.2801814,0.40643737,0.91639096,0.94436616,0.029255398,0,4.0,3.3329158,0.20084462,0.105822444,38.85233116149902,408.22230577879907,0.7973091909742169,3.405151,0.2314884,11851.0,7.0,61.0,194.27868852459017,1.4426229508196722,1.3333333333333333
